,well,num_cells,num_cells_with_condensates,num_condensates,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p5_A24,33,24,149,2.797,0.075
1,KRD-211028-p5_B24,35,30,239,2.706,0.083
2,KRD-211028-p5_C24,27,23,191,3.829,0.139
3,KRD-211028-p5_D24,65,53,418,3.535,0.102
4,KRD-211028-p5_E24,65,47,232,3.121,0.07
5,KRD-211028-p5_F24,48,42,438,3.304,0.113
6,KRD-211028-p5_G24,59,52,428,3.163,0.102
7,KRD-211028-p5_H24,86,70,526,2.953,0.086
8,KRD-211028-p5_I24,25,22,199,2.874,0.085
9,KRD-211028-p5_J24,54,47,396,3.135,0.108
10,KRD-211028-p5_K24,57,50,387,3.13,0.094
11,KRD-211028-p5_L24,72,62,434,2.853,0.084
12,KRD-211028-p5_M24,36,32,353,2.83,0.075
13,KRD-211028-p5_N24,48,41,612,2.651,0.095
14,KRD-211028-p5_O24,41,38,350,3.31,0.107
15,KRD-211028-p5_P24,65,52,381,3.605,0.104
16,KRD-211028-p6_A24,54,44,415,3.299,0.103
17,KRD-211028-p6_B24,62,49,305,3.091,0.086
18,KRD-211028-p6_C24,79,67,532,3.262,0.112
19,KRD-211028-p6_D24,65,59,463,3.404,0.121
20,KRD-211028-p6_E24,83,59,411,3.72,0.121
21,KRD-211028-p6_F24,63,55,400,2.904,0.097
22,KRD-211028-p6_G24,59,40,353,2.666,0.101
23,KRD-211028-p6_H24,50,42,329,3.141,0.097
24,KRD-211028-p6_I24,49,42,238,2.9,0.079
25,KRD-211028-p6_J24,86,77,429,3.065,0.093
26,KRD-211028-p6_K24,59,50,322,3.075,0.091
27,KRD-211028-p6_L24,67,53,324,3.214,0.085
28,KRD-211028-p6_M24,52,45,399,2.613,0.088
29,KRD-211028-p6_N24,60,55,313,2.709,0.079
30,KRD-211028-p6_O24,86,55,384,3.124,0.089
31,KRD-211028-p6_P24,56,45,390,3.438,0.116
