,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p5_A24_s1,4,4,25,6.25,1.88,0.031
0,KRD-211028-p5_A24_s2,8,5,51,10.2,3.384,0.126
0,KRD-211028-p5_A24_s3,0,0,0,,,
0,KRD-211028-p5_A24_s4,3,2,14,7.0,2.708,0.041
0,KRD-211028-p5_A24_s5,8,6,34,5.67,2.713,0.062
0,KRD-211028-p5_A24_s6,10,7,25,3.57,2.683,0.051
0,KRD-211028-p5_B24_s1,8,6,68,11.33,3.502,0.121
0,KRD-211028-p5_B24_s2,1,1,8,8.0,1.288,0.031
0,KRD-211028-p5_B24_s3,7,6,51,8.5,2.388,0.053
0,KRD-211028-p5_B24_s4,0,0,0,,,
0,KRD-211028-p5_B24_s5,6,5,31,6.2,2.485,0.063
0,KRD-211028-p5_B24_s6,13,12,81,6.75,2.463,0.083
0,KRD-211028-p5_C24_s1,0,0,0,,,
0,KRD-211028-p5_C24_s2,7,6,34,5.67,3.222,0.061
0,KRD-211028-p5_C24_s3,9,6,61,10.17,3.617,0.136
0,KRD-211028-p5_C24_s4,7,7,22,3.14,2.358,0.043
0,KRD-211028-p5_C24_s5,2,2,68,34.0,5.017,0.223
0,KRD-211028-p5_C24_s6,2,2,6,3.0,1.339,0.024
0,KRD-211028-p5_D24_s1,2,2,26,13.0,2.6,0.089
0,KRD-211028-p5_D24_s2,8,7,50,7.14,3.347,0.113
0,KRD-211028-p5_D24_s3,11,10,150,15.0,3.546,0.117
0,KRD-211028-p5_D24_s4,22,18,100,5.56,3.372,0.078
0,KRD-211028-p5_D24_s5,9,6,20,3.33,4.769,0.11
0,KRD-211028-p5_D24_s6,13,10,72,7.2,3.865,0.101
0,KRD-211028-p5_E24_s1,5,5,28,5.6,3.001,0.071
0,KRD-211028-p5_E24_s2,12,8,31,3.88,2.767,0.04
0,KRD-211028-p5_E24_s3,13,10,51,5.1,2.812,0.049
0,KRD-211028-p5_E24_s4,14,12,60,5.0,3.022,0.072
0,KRD-211028-p5_E24_s5,12,7,39,5.57,4.054,0.116
0,KRD-211028-p5_E24_s6,9,5,23,4.6,3.107,0.069
0,KRD-211028-p5_F24_s1,9,6,31,5.17,2.976,0.064
0,KRD-211028-p5_F24_s2,7,7,151,21.57,3.384,0.14
0,KRD-211028-p5_F24_s3,6,6,46,7.67,3.646,0.085
0,KRD-211028-p5_F24_s4,9,8,103,12.88,3.894,0.148
0,KRD-211028-p5_F24_s5,10,8,70,8.75,2.091,0.075
0,KRD-211028-p5_F24_s6,7,7,37,5.29,3.475,0.054
0,KRD-211028-p5_G24_s1,12,11,76,6.91,2.791,0.087
0,KRD-211028-p5_G24_s2,12,8,78,9.75,3.196,0.075
0,KRD-211028-p5_G24_s3,2,2,64,32.0,3.854,0.142
0,KRD-211028-p5_G24_s4,14,14,131,9.36,3.157,0.113
0,KRD-211028-p5_G24_s5,2,2,7,3.5,2.571,0.036
0,KRD-211028-p5_G24_s6,17,15,72,4.8,2.975,0.095
0,KRD-211028-p5_H24_s1,5,5,42,8.4,2.787,0.061
0,KRD-211028-p5_H24_s2,7,6,36,6.0,3.649,0.071
0,KRD-211028-p5_H24_s3,7,6,94,15.67,2.061,0.05
0,KRD-211028-p5_H24_s4,34,27,190,7.04,3.307,0.117
0,KRD-211028-p5_H24_s5,22,18,121,6.72,3.065,0.09
0,KRD-211028-p5_H24_s6,11,8,43,5.38,2.604,0.056
0,KRD-211028-p5_I24_s1,3,3,44,14.67,2.501,0.053
0,KRD-211028-p5_I24_s2,3,1,9,9.0,3.378,0.213
0,KRD-211028-p5_I24_s3,3,2,6,3.0,3.057,0.042
0,KRD-211028-p5_I24_s4,4,4,32,8.0,2.844,0.108
0,KRD-211028-p5_I24_s5,6,6,65,10.83,2.704,0.069
0,KRD-211028-p5_I24_s6,6,6,43,7.17,3.405,0.104
0,KRD-211028-p5_J24_s1,6,6,42,7.0,2.267,0.052
0,KRD-211028-p5_J24_s2,15,11,78,7.09,3.429,0.115
0,KRD-211028-p5_J24_s3,14,11,92,8.36,3.175,0.123
0,KRD-211028-p5_J24_s4,7,7,80,11.43,2.559,0.068
0,KRD-211028-p5_J24_s5,8,8,83,10.38,3.858,0.165
0,KRD-211028-p5_J24_s6,4,4,21,5.25,2.945,0.062
0,KRD-211028-p5_K24_s1,14,13,89,6.85,3.052,0.077
0,KRD-211028-p5_K24_s2,10,7,43,6.14,2.125,0.058
0,KRD-211028-p5_K24_s3,10,9,72,8.0,3.154,0.123
0,KRD-211028-p5_K24_s4,7,7,60,8.57,3.541,0.095
0,KRD-211028-p5_K24_s5,7,7,79,11.29,3.414,0.11
0,KRD-211028-p5_K24_s6,9,7,44,6.29,3.164,0.087
0,KRD-211028-p5_L24_s1,6,5,14,2.8,2.596,0.097
0,KRD-211028-p5_L24_s2,18,13,80,6.15,2.586,0.078
0,KRD-211028-p5_L24_s3,17,17,160,9.41,2.703,0.075
0,KRD-211028-p5_L24_s4,18,14,69,4.93,3.193,0.107
0,KRD-211028-p5_L24_s5,4,4,35,8.75,2.76,0.072
0,KRD-211028-p5_L24_s6,9,9,76,8.44,3.23,0.093
0,KRD-211028-p5_M24_s1,1,1,26,26.0,2.815,0.073
0,KRD-211028-p5_M24_s2,4,3,47,15.67,3.048,0.104
0,KRD-211028-p5_M24_s3,8,7,73,10.43,3.018,0.076
0,KRD-211028-p5_M24_s4,8,6,66,11.0,2.912,0.089
0,KRD-211028-p5_M24_s5,7,7,70,10.0,2.406,0.058
0,KRD-211028-p5_M24_s6,8,8,71,8.88,2.839,0.058
0,KRD-211028-p5_N24_s1,4,3,97,32.33,4.005,0.161
0,KRD-211028-p5_N24_s2,8,7,61,8.71,2.832,0.099
0,KRD-211028-p5_N24_s3,9,8,98,12.25,2.85,0.078
0,KRD-211028-p5_N24_s4,3,3,10,3.33,2.9,0.046
0,KRD-211028-p5_N24_s5,4,3,27,9.0,3.06,0.051
0,KRD-211028-p5_N24_s6,20,17,319,18.76,2.101,0.084
0,KRD-211028-p5_O24_s1,2,2,23,11.5,4.048,0.16
0,KRD-211028-p5_O24_s2,11,10,61,6.1,3.105,0.064
0,KRD-211028-p5_O24_s3,3,3,53,17.67,2.709,0.136
0,KRD-211028-p5_O24_s4,5,4,40,10.0,3.935,0.115
0,KRD-211028-p5_O24_s5,9,8,58,7.25,2.786,0.057
0,KRD-211028-p5_O24_s6,11,11,115,10.45,3.594,0.129
0,KRD-211028-p5_P24_s1,0,0,0,,,
0,KRD-211028-p5_P24_s2,4,4,52,13.0,4.216,0.113
0,KRD-211028-p5_P24_s3,6,5,19,3.8,2.841,0.053
0,KRD-211028-p5_P24_s4,23,20,126,6.3,3.027,0.07
0,KRD-211028-p5_P24_s5,6,5,91,18.2,4.59,0.165
0,KRD-211028-p5_P24_s6,26,18,93,5.17,3.24,0.095
0,KRD-211028-p6_A24_s1,10,10,62,6.2,3.004,0.07
0,KRD-211028-p6_A24_s2,8,6,87,14.5,3.723,0.094
0,KRD-211028-p6_A24_s3,6,6,107,17.83,3.277,0.131
0,KRD-211028-p6_A24_s4,11,9,73,8.11,3.224,0.11
0,KRD-211028-p6_A24_s5,8,5,16,3.2,2.577,0.056
0,KRD-211028-p6_A24_s6,11,8,70,8.75,3.312,0.106
0,KRD-211028-p6_B24_s1,10,9,35,3.89,3.214,0.05
0,KRD-211028-p6_B24_s2,13,8,58,7.25,3.286,0.092
0,KRD-211028-p6_B24_s3,9,8,65,8.12,2.892,0.095
0,KRD-211028-p6_B24_s4,13,11,72,6.55,2.904,0.085
0,KRD-211028-p6_B24_s5,12,8,40,5.0,3.481,0.11
0,KRD-211028-p6_B24_s6,5,5,35,7.0,2.955,0.067
0,KRD-211028-p6_C24_s1,12,9,69,7.67,3.431,0.11
0,KRD-211028-p6_C24_s2,24,19,119,6.26,3.297,0.108
0,KRD-211028-p6_C24_s3,8,6,93,15.5,2.842,0.107
0,KRD-211028-p6_C24_s4,17,16,109,6.81,3.092,0.1
0,KRD-211028-p6_C24_s5,4,4,49,12.25,3.223,0.109
0,KRD-211028-p6_C24_s6,14,13,93,7.15,3.731,0.139
0,KRD-211028-p6_D24_s1,23,23,162,7.04,3.32,0.12
0,KRD-211028-p6_D24_s2,6,6,49,8.17,3.426,0.081
0,KRD-211028-p6_D24_s3,10,9,96,10.67,3.783,0.15
0,KRD-211028-p6_D24_s4,5,4,35,8.75,2.625,0.052
0,KRD-211028-p6_D24_s5,9,7,26,3.71,2.318,0.039
0,KRD-211028-p6_D24_s6,12,10,95,9.5,3.737,0.163
0,KRD-211028-p6_E24_s1,14,12,50,4.17,2.904,0.082
0,KRD-211028-p6_E24_s2,17,10,71,7.1,3.469,0.09
0,KRD-211028-p6_E24_s3,8,6,29,4.83,3.181,0.096
0,KRD-211028-p6_E24_s4,15,12,58,4.83,3.678,0.105
0,KRD-211028-p6_E24_s5,17,12,141,11.75,4.089,0.135
0,KRD-211028-p6_E24_s6,12,7,62,8.86,4.12,0.184
0,KRD-211028-p6_F24_s1,10,9,89,9.89,3.545,0.118
0,KRD-211028-p6_F24_s2,10,9,51,5.67,3.014,0.062
0,KRD-211028-p6_F24_s3,18,15,51,3.4,2.449,0.078
0,KRD-211028-p6_F24_s4,9,8,45,5.62,2.36,0.054
0,KRD-211028-p6_F24_s5,3,2,78,39.0,1.953,0.116
0,KRD-211028-p6_F24_s6,13,12,86,7.17,3.592,0.112
0,KRD-211028-p6_G24_s1,13,11,164,14.91,2.449,0.112
0,KRD-211028-p6_G24_s2,7,4,22,5.5,2.883,0.13
0,KRD-211028-p6_G24_s3,15,12,77,6.42,3.033,0.111
0,KRD-211028-p6_G24_s4,8,2,16,8.0,2.795,0.064
0,KRD-211028-p6_G24_s5,7,6,43,7.17,2.718,0.065
0,KRD-211028-p6_G24_s6,9,5,31,6.2,2.609,0.066
0,KRD-211028-p6_H24_s1,9,6,48,8.0,4.437,0.171
0,KRD-211028-p6_H24_s2,5,4,13,3.25,2.822,0.046
0,KRD-211028-p6_H24_s3,10,8,61,7.62,2.904,0.078
0,KRD-211028-p6_H24_s4,15,15,113,7.53,3.154,0.109
0,KRD-211028-p6_H24_s5,6,4,48,12.0,2.777,0.07
0,KRD-211028-p6_H24_s6,5,5,46,9.2,2.541,0.058
0,KRD-211028-p6_I24_s1,4,4,17,4.25,3.237,0.058
0,KRD-211028-p6_I24_s2,8,7,34,4.86,2.985,0.074
0,KRD-211028-p6_I24_s3,10,10,72,7.2,2.839,0.092
0,KRD-211028-p6_I24_s4,16,12,81,6.75,2.989,0.085
0,KRD-211028-p6_I24_s5,3,2,4,2.0,0.961,0.034
0,KRD-211028-p6_I24_s6,8,7,30,4.29,2.778,0.057
0,KRD-211028-p6_J24_s1,10,10,34,3.4,3.237,0.078
0,KRD-211028-p6_J24_s2,18,14,48,3.43,2.522,0.055
0,KRD-211028-p6_J24_s3,8,7,61,8.71,2.606,0.065
0,KRD-211028-p6_J24_s4,19,17,114,6.71,3.111,0.101
0,KRD-211028-p6_J24_s5,16,15,64,4.27,3.014,0.076
0,KRD-211028-p6_J24_s6,15,14,108,7.71,3.494,0.132
0,KRD-211028-p6_K24_s1,10,10,51,5.1,3.241,0.058
0,KRD-211028-p6_K24_s2,4,4,37,9.25,3.253,0.108
0,KRD-211028-p6_K24_s3,0,0,0,,,
0,KRD-211028-p6_K24_s4,15,15,116,7.73,3.19,0.102
0,KRD-211028-p6_K24_s5,12,8,67,8.38,2.613,0.09
0,KRD-211028-p6_K24_s6,18,13,51,3.92,3.124,0.085
0,KRD-211028-p6_L24_s1,14,11,59,5.36,3.198,0.063
0,KRD-211028-p6_L24_s2,11,6,34,5.67,2.302,0.065
0,KRD-211028-p6_L24_s3,13,12,78,6.5,3.407,0.093
0,KRD-211028-p6_L24_s4,9,7,34,4.86,4.213,0.117
0,KRD-211028-p6_L24_s5,7,6,50,8.33,3.302,0.112
0,KRD-211028-p6_L24_s6,13,11,69,6.27,2.904,0.068
0,KRD-211028-p6_M24_s1,7,7,59,8.43,2.813,0.05
0,KRD-211028-p6_M24_s2,11,8,50,6.25,2.945,0.119
0,KRD-211028-p6_M24_s3,6,5,117,23.4,1.771,0.091
0,KRD-211028-p6_M24_s4,8,7,55,7.86,3.243,0.094
0,KRD-211028-p6_M24_s5,3,3,33,11.0,3.166,0.132
0,KRD-211028-p6_M24_s6,17,15,85,5.67,2.814,0.073
0,KRD-211028-p6_N24_s1,5,3,19,6.33,2.712,0.073
0,KRD-211028-p6_N24_s2,8,8,43,5.38,2.742,0.051
0,KRD-211028-p6_N24_s3,9,9,62,6.89,3.071,0.098
0,KRD-211028-p6_N24_s4,6,5,59,11.8,2.39,0.069
0,KRD-211028-p6_N24_s5,17,16,75,4.69,2.353,0.077
0,KRD-211028-p6_N24_s6,15,14,55,3.93,3.103,0.096
0,KRD-211028-p6_O24_s1,7,3,72,24.0,3.319,0.141
0,KRD-211028-p6_O24_s2,12,6,77,12.83,2.87,0.079
0,KRD-211028-p6_O24_s3,11,9,54,6.0,2.834,0.051
0,KRD-211028-p6_O24_s4,14,12,106,8.83,3.227,0.088
0,KRD-211028-p6_O24_s5,13,10,38,3.8,3.563,0.075
0,KRD-211028-p6_O24_s6,29,15,37,2.47,2.946,0.081
0,KRD-211028-p6_P24_s1,4,4,32,8.0,3.521,0.107
0,KRD-211028-p6_P24_s2,11,10,87,8.7,4.857,0.189
0,KRD-211028-p6_P24_s3,10,5,24,4.8,3.61,0.067
0,KRD-211028-p6_P24_s4,2,2,19,9.5,3.172,0.058
0,KRD-211028-p6_P24_s5,22,18,178,9.89,2.789,0.096
0,KRD-211028-p6_P24_s6,7,6,50,8.33,3.246,0.111
